GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
customer-ms,com.bm_nttdata.customer_ms.api,CustomApiDelegateImpl,11,90,0,0,3,20,1,6,1,6
customer-ms,com.bm_nttdata.customer_ms.service,CustomerService,0,75,0,2,0,15,0,9,0,8
